STRUCTURE,STRUCTURE_ID,ACTION,FREQ,CLIMATE_CHANGE_INDICATORS,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1993,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1994,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1995,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1996,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1997,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1998,-0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,1999,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2000,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2001,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2002,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2003,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2004,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2005,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2006,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2007,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2008,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2009,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2010,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2011,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2012,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2013,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2014,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2015,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2016,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2017,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2018,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2019,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2020,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2021,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2022,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,KI,2023,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1993,-0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1994,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1995,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1996,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1997,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1998,-0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,1999,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2000,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2001,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2002,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2003,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2004,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2005,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2006,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2007,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2008,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2009,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2010,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2011,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2012,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2013,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2014,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2015,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2016,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2017,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2018,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2019,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2020,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2021,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2022,0.2,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,PG,2023,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1993,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1994,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1995,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1996,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1997,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1998,-0.2,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,1999,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2000,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2001,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2002,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2003,0,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2004,0.1,,METER,,,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,SEA_LVL,AS,2005,0,,METER,,,N,
