STRUCTURE,STRUCTURE_ID,ACTION,FREQ,CLIMATE_CHANGE_INDICATORS,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1850,0,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1851,-0.4,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1852,-0.1,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1853,0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1854,-0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1855,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1856,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1857,-0.4,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1858,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1859,0.1,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1860,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1861,-0.5,,CELSIUS,SE,0.2,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1862,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1863,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1864,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1865,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1866,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1867,-0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1868,-0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1869,0,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1870,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1871,0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1872,0,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1873,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1874,0,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1875,-0.2,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1876,-0.1,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1877,-0.2,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1878,-0.2,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1879,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1880,-0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1881,0.2,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1882,0.1,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1883,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1884,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1885,-0.5,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1886,-0.5,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1887,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1888,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1889,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1890,-0.5,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1891,-0.4,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1892,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1893,-0.6,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1894,-0.4,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1895,-0.2,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1896,-0.4,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1897,-0.3,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1898,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1899,-0.2,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1900,-0.1,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1901,-0.1,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1902,-0.6,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1903,-0.4,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1904,-0.6,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1905,-0.5,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1906,-0.4,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1907,-0.5,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1908,-0.6,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1909,-0.7,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1910,-0.8,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1911,-0.6,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1912,-0.5,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1913,-0.6,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1914,-0.4,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1915,-0.3,,CELSIUS,SE,0,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1916,-0.5,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1917,-0.9,,CELSIUS,SE,0.1,N,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),I,A,ST_ANOM,WF,1918,-0.6,,CELSIUS,SE,0.1,N,
